"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360963",2015,"Nov","Sat",13,"36103","1337",40.87845278,-73.02654444,2,2,"2","0",1,"Local road","3-way intersection","On road","Angled collision","Daylight","Precipitation"
"360964",2015,"Aug","Fri",11,"36059","2600",40.69754722,-73.58593056,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360965",2015,"Dec","Thu",14,"36055","5600",43.06335278,-77.70993889,2,8,"8","0",1,"Main arterial","Not intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360966",2015,"Dec","Sat",9,"36081","4170",40.67671667,-73.82284444,1,1,"1","1",1,"Main arterial","3-way intersection","On road","Non-vehicle collision","Daylight","Clear"
"360967",2015,"Dec","Fri",17,"36057","2210",42.94694722,-74.37106667,1,1,"1","1",1,"Local road","4-way intersection","On road","Non-vehicle collision","Dark","Clear"
"360968",2015,"Dec","Thu",6,"36119","6820",40.91843889,-73.84739444,2,2,"2","1",1,"Main arterial","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360969",2015,"Dec","Thu",5,"36059","4450",40.77886111,-73.57486389,2,2,"1","1",1,"Interstate","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360970",2015,"Dec","Thu",11,"36055","6510",43.20506944,-77.47461111,2,2,"2","0",1,"Local road","4-way intersection","On road","Front collision","Daylight","Foggy or cloudy"
"360971",2015,"Dec","Fri",3,"36081","4170",40.76141944,-73.81105278,4,2,"2","0",1,"Local road","Not intersection","Other location","Non-vehicle collision","Dark","Clear"
"360972",2015,"Dec","Sat",17,"36007","1880",42.0924,-76.07908056,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360973",2015,"Dec","Tue",6,"36055","5230",43.17933056,-77.64448056,1,1,"1","1",1,"Local road","3-way intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360974",2015,"Dec","Fri",1,"36075","2200",99.9999,999.9999,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Foggy or cloudy"
"360975",2015,"Dec","Tue",20,"36037","4390",43.10836111,-78.24620556,1,1,"1","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
"360976",2015,"Dec","Tue",13,"36109","6120",42.4958,-76.5961,2,2,"2","0",1,"Main arterial","4-way intersection","On road","Angled collision","Daylight","Precipitation"
"360977",2015,"Dec","Wed",18,"36007","1880",42.15219722,-76.069325,1,1,"1","0",1,"Collector","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360978",2015,"Dec","Thu",14,"36065","5260",43.22973333,-75.49396944,2,2,"2","0",1,"Main arterial","Not intersection","On road","Angled collision","Daylight","Clear"
"360979",2015,"Dec","Thu",16,"36047","4170",40.59695556,-73.94992778,1,1,"1","1",1,"Collector","4-way intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360980",2015,"Dec","Wed",5,"36047","4170",40.71781667,-73.93496944,2,3,"3","0",1,"Local road","Not intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360981",2015,"Dec","Fri",3,"36005","4170",99.9999,999.9999,2,2,"2","1",1,"Interstate","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360982",2015,"Dec","Mon",16,"36083","6110",42.73902222,-73.67498611,1,1,"1","1",1,"Main arterial","4-way intersection","On road","Non-vehicle collision","Dark","Precipitation"
"360983",2015,"Nov","Sat",21,"36079","0900",41.391925,-73.72372778,3,7,"7","0",1,"Main arterial","3-way intersection","On road","Angled collision","Dark","Foggy or cloudy"
"360984",2015,"Nov","Sun",19,"36103","5810",40.89394444,-72.57607778,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Dark","Clear"
