"ST_CASE","VEH_NO","MAKE","MODEL","MOD_YEAR","VIN","NUMOCCS","TRAV_SP","DEFORMED","TOWED","DEATHS","SPEEDREL","OWNER","BODY_TYP"
"360289","3","84","881",2015,"1HTHXSNR5FH1",1,NA,NA,"yes",0,"no","other","truck"
"360290","1","18","3",1998,"1G4CW52K2W46",2,NA,NA,"yes",1,"yes","other","4-door sedan"
"360291","1","84","881",2005,"1HTMKAAN85H6",1,NA,NA,"no",0,"no","other","truck"
"360292","1","73","709",2008,"JKAZXCE148A0",1,100,NA,"yes",1,"yes","other","motorcycle"
"360293","1","12","471",2002,"1FTZR45U22TA",1,NA,"disabling","yes",1,"yes","driver","pickup"
"360293","2","20","422",2005,"3GNFK16Z15G2",3,NA,"disabling","yes",1,"no","other","utility vehicle"
"360294","1","52","34",2001,"4A3AA46G41E0",2,NA,"disabling","yes",1,"yes","driver","4-door sedan"
"360295","1","37","441",2003,"5Y2SL62833Z4",1,NA,NA,"yes",0,"no","other","van or bus"
"360296","1","19","14",2003,"1G6KS54Y73U2",1,NA,"disabling","yes",0,"no","other","4-door sedan"
"360296","2","18","20",2001,"2G4WB55K6111",1,NA,"disabling","yes",1,"no","other","4-door sedan"
"360297","1","42","43",2002,"WDBNG70J72A2",1,NA,NA,"yes",0,"no",NA,"4-door sedan"
"360298","1","37","39",2013,"JHMGE8H34DC0",2,17,"disabling","yes",1,"no","other",NA
"360298","2","12","881",2011,"1FT8W3BT6BEB",1,53,"disabling","yes",0,"no","other","truck"
"360299","1","22","22",2006,"1G2ZH5581641",3,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360299","2","35","472",2014,"1N6AD0EV0EN7",1,NA,"disabling","yes",0,"no","driver","pickup"
"360300","1","99","999",9999,"999999999999",1,NA,NA,"no",0,NA,NA,NA
"360301","1","12","461",2003,"1FDNE24M73HA",1,NA,NA,"no",0,"no","driver","van or bus"
"360302","1","20","481",2014,"1GCVKREC9EZ3",1,NA,NA,"yes",1,"no","driver","pickup"
"360302","2","87","881",2004,"999999999999",1,NA,NA,"yes",0,"no","other","truck"
"360303","1","72","706",2008,"1HD1GX4118K3",1,NA,"disabling","yes",1,"yes","driver","motorcycle"
"360304","1","14","6",2003,"2MEFM74W73X6",1,NA,NA,"no",0,"no","driver","4-door sedan"
"360305","1","12","870",2010,"1FDFE4FS1ADB",4,NA,"disabling","yes",1,"no","other","van or bus"
"360305","2","38","882",2004,"JALC4B145470",2,NA,"disabling","yes",0,"no","other","truck"
"360306","1","6","441",2014,"2C4RC1BGXER2",1,NA,"disabling","yes",1,"no","other","van or bus"
"360307","1","20","37",2011,"1G1ZB5E15BF2",1,40,NA,"yes",0,"no","driver","4-door sedan"
"360308","1","20","473",2006,"1GCDT1481681",1,NA,NA,"yes",1,"no","driver","pickup"
"360308","2","37","32",2013,"1HGCR3F88DA0",1,0,NA,"no",0,"no","other","4-door sedan"
"360309","1","49","442",2014,"5TDKK3DC2ES4",8,NA,NA,"no",0,"no","other","van or bus"
"360309","2","41","45",1999,"JM1NB3532X01",1,NA,"disabling","yes",1,"no","other","other car"
"360310","1","37","31",1991,"1HGED3541ML0",3,NA,"disabling","yes",1,"no","other","4-door sedan"
"360310","2","41","51",2012,"JM1BL1V84C16",3,NA,"disabling","yes",0,"no","driver","4-door sedan"
"360311","1","18","7",2001,"2G4WS52J7112",1,30,NA,"yes",0,"no","driver","4-door sedan"
"360312","1","20","22",2010,"1G1AF5F58A71",1,55,"disabling","yes",1,"no","driver","4-door sedan"
"360313","1","37","31",1994,"1HGEG8667RL0",2,NA,"disabling","yes",1,"yes","driver","4-door sedan"
"360314","1","53","705",2001,"JS1GN7BA5121",2,NA,"disabling","yes",1,"yes","other","motorcycle"
"360314","2","51","34",1991,"YV1AA8842M14",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360315","1","12","23",2014,"3FA6P0H72ER3",1,NA,NA,"yes",1,"no","other","4-door sedan"
"360316","1","42","402",2006,"4JGBB75E26A0",1,NA,NA,"no",0,"yes","driver","utility vehicle"
"360317","1","53","706",2003,"JS1GT75A6321",1,60,"disabling","yes",1,"yes","driver","motorcycle"
"360318","1","20","422",2008,"1GNFK16368J2",3,NA,NA,"no",0,"no","driver","utility vehicle"
"360319","1","2","404",2000,"1J4GW58S6YC1",1,NA,"disabling","yes",1,"yes","driver","utility vehicle"
"360320","1","72","706",2002,"1HD1BMY152Y0",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360321","1","55","399",2014,"999999999999",2,NA,NA,"yes",0,"no","other","4-door sedan"
"360321","2","37","705",1986,"JH2RC1908GM2",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360322","1","51","43",1998,"YV1LS5574W35",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360322","2","20","481",1996,"1GCGC29R5TE1",1,NA,NA,"yes",0,"no","driver","pickup"
"360325","1","20","870",2007,"1GBJG3166712",19,NA,NA,"yes",0,"no","driver","van or bus"
"360326","1","20","2",2004,"2G1WF52E5494",1,NA,NA,"yes",1,"no","other","4-door sedan"
"360326","2","12","481",2010,"1FTEX1E82AFB",1,NA,NA,"yes",0,"no","driver","pickup"
"360327","1","20","881",2012,"1GB4CZCL7CF1",2,NA,NA,"no",0,"no","other","truck"
"360327","2","37","706",1990,"JH2RC3626LM0",1,NA,NA,"yes",1,"yes","driver","motorcycle"
"360328","1","73","703",2014,"JKAEX8B1XEA0",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360329","1","67","32",2015,"JTKJF5C7XF30",2,NA,NA,"yes",0,"no","other","other car"
"360329","2","72","706",2001,"1HD1FDV141Y6",2,NA,NA,"yes",1,"no","driver","motorcycle"
"360330","1","49","40",2014,"4T1BF1FK7EU3",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360330","2","85","881",2013,"1XKDD40X9DJ3",1,NA,NA,"no",0,"no","other","truck"
"360331","1","35","39",1995,"JN1CA21D4ST0",2,100,"disabling","yes",2,"yes","other","4-door sedan"
"360332","1","72","706",2009,"1HD1JA5179Y0",1,NA,NA,"yes",1,"no","driver","motorcycle"
"360333","1","76","706",2004,"JYARN13EX4A0",1,NA,"disabling","yes",1,"no","driver","motorcycle"
"360334","1","37","706",1996,"1HFSC3207TA1",1,NA,NA,"yes",1,"yes","driver","motorcycle"
